"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10327","Validate Name & Email fields with screenshot","tests","Mon Jun 23 19:01:27 IST 2025","broken","Mon Jun 23 19:01:38 IST 2025","TestContactUs","Contact Us Page Suite","",""
"","10337","Verify heading text on Contact Us page","tests","Mon Jun 23 19:01:17 IST 2025","broken","Mon Jun 23 19:01:27 IST 2025","TestContactUs","Contact Us Page Suite","",""
"","375","Verify copyright footer text","tests","Mon Jun 23 19:01:55 IST 2025","passed","Mon Jun 23 19:01:56 IST 2025","TestLandingPage","Landing Page Smoke Suite","",""
"","6180","Verify landing page title as → LivePad","tests","Mon Jun 23 19:01:48 IST 2025","passed","Mon Jun 23 19:01:54 IST 2025","TestLandingPage","Landing Page Smoke Suite","",""
"","8642","Verify 'About Us' link opens Vimeo URL in new tab","tests","Mon Jun 23 19:01:56 IST 2025","passed","Mon Jun 23 19:02:04 IST 2025","TestLandingPage","Landing Page Smoke Suite","",""
"","10288","Verify 'Subscription' span navigation to subscription page","tests","Mon Jun 23 19:01:38 IST 2025","broken","Mon Jun 23 19:01:48 IST 2025","TestContactUs","Contact Us Page Suite","",""
"","8080","Verify 'Tutorial Videos' link navigation to Vimeo","tests","Mon Jun 23 19:02:04 IST 2025","passed","Mon Jun 23 19:02:12 IST 2025","TestLandingPage","Landing Page Smoke Suite","",""
"","45","Verify current landing page URL","tests","Mon Jun 23 19:01:54 IST 2025","passed","Mon Jun 23 19:01:54 IST 2025","TestLandingPage","Landing Page Smoke Suite","",""
"","145","Scroll to bottom of landing page","tests","Mon Jun 23 19:01:55 IST 2025","passed","Mon Jun 23 19:01:55 IST 2025","TestLandingPage","Landing Page Smoke Suite","",""
"","407","Verify landing banner text → 'Discover your dream pad'","tests","Mon Jun 23 19:01:54 IST 2025","passed","Mon Jun 23 19:01:55 IST 2025","TestLandingPage","Landing Page Smoke Suite","",""
"","10504","Verify Contact Us page title","tests","Mon Jun 23 19:01:06 IST 2025","broken","Mon Jun 23 19:01:16 IST 2025","TestContactUs","Contact Us Page Suite","",""
"","341","Verify navigation to 'Contact Us' page","tests","Mon Jun 23 19:02:12 IST 2025","passed","Mon Jun 23 19:02:13 IST 2025","TestLandingPage","Landing Page Smoke Suite","",""
